TRAGLSU128F145FFB2	K-OS	Heaven Only Knows	Rap	49|0.275095391932	5|0.0910552563483	24|0.0866783381762	6|0.0748806162461	15|0.0672428401837	7|0.0671391044337	0|0.0639613676437	41|0.0554733710527	29|0.0551798828712	23|0.0475512503473	37|0.0356016176663	48|0.0242907553964	25|0.0237953380471	1|0.0203120839084	42|0.00403894125188	17|0.000647493894809	32|0.000454054593795	31|0.000453741593318	27|0.000439788031843	8|0.000350601708789	26|0.000342180876634	28|0.00032663495951	38|0.000322304900869	4|0.00030147365589	21|0.00026331549439	2|0.000244098241405	39|0.000244044946687	35|0.000236314643756	11|0.000227384482848	30|0.000227134456597	36|0.00022552252484	14|0.000218921686211	22|0.000211517627081	3|0.000198531347454	9|0.000197632611594	20|0.000189271986644	18|0.000188084748462	12|0.000179372159812	16|0.000175797960861	44|0.000158437116974	46|0.000140365601056	34|0.00012806030218	19|0.000101005204867	43|8.14759722769e-05	33|7.26745933782e-05	10|5.18930428578e-05	45|4.68596254892e-05	47|2.6020408902e-05	13|1.98241307261e-05	40|1.20093624649e-05
TRBCRDW128F422D8BA	Keep Of Kalessin	As Mist Lay Silent Beneath	Rock|Metal	15|0.459683328512	18|0.149149955263	5|0.101498974729	8|0.0877639112276	26|0.0753576244515	32|0.0261915748184	23|0.0261828212056	31|0.013810860731	7|0.0136859714339	29|0.0131049004784	0|0.0036631592954	48|0.00233644179761	1|0.00216715043582	17|0.00204224267061	41|0.00165085661203	27|0.00138712332557	49|0.00108992308925	24|0.00103576957373	28|0.00103023033479	38|0.00101657301602	6|0.000964080163757	4|0.000950869759634	37|0.000872540554947	21|0.000830516152796	25|0.000773859573101	2|0.000769903544131	39|0.000769735448729	35|0.00074535351304	11|0.000717187138332	30|0.000716398537417	36|0.000711314387833	14|0.000690494864407	22|0.000667141925313	3|0.000626182258202	9|0.000623347580165	20|0.000596977563146	12|0.000565752791838	16|0.000554479509311	44|0.000499722149483	46|0.000442723278568	34|0.0004039114741	42|0.000359386564828	19|0.000318577736386	43|0.000256981121439	33|0.000229220934523	10|0.000163674418062	45|0.000147798654891	47|8.20702554762e-05	13|6.25267450413e-05	40|3.78783995791e-05
TRAAGEC128E079252C	Nine Inch Nails	Metal	Electronic	31|0.204026367596	26|0.127891769973	9|0.126965923469	48|0.105304760098	1|0.104960973266	27|0.103376940588	23|0.053170516562	3|0.0515516402053	0|0.032578939351	7|0.0277926570663	5|0.00499797706995	17|0.00414726499061	41|0.00335246145335	15|0.00331708196118	32|0.0029082663725	8|0.00224564000397	49|0.0022133510065	24|0.00210337926697	28|0.00209213050987	38|0.00206439603893	6|0.0019577966756	4|0.00193096977236	37|0.00177190348067	21|0.00168656282341	25|0.00157150800997	2|0.00156347434155	39|0.00156313298341	35|0.00151361959808	29|0.00147263946539	11|0.001456420999	30|0.00145481955515	36|0.00144449496646	14|0.00140221591614	22|0.00135479215592	20|0.00121230654097	18|0.0012047021583	12|0.00114889713191	16|0.00112600402003	44|0.00101480602938	46|0.000899056111282	34|0.000820239406388	42|0.000729820867939	19|0.000646948725494	43|0.000521861982188	33|0.000465488245125	10|0.000332380276672	45|0.000300140720742	47|0.000166663395201	13|0.000126975596201	40|7.69212017433e-05
TRBBOUN128F425A4E6	Rick Astley	Hopelessly	Pop|Rock	26|0.230550578093	11|0.172806128907	1|0.131490700747	0|0.104559900409	18|0.101006016857	15|0.0735475538618	32|0.0589831808992	17|0.045358161393	44|0.02924114748	21|0.015292765931	5|0.0028491482939	48|0.00270476913137	41|0.00191110517245	31|0.00165674433562	23|0.00164775362039	27|0.00160579576869	7|0.00151216692059	8|0.00128015020807	49|0.00126174353258	24|0.00119905301005	28|0.00119264054024	38|0.00117683021949	6|0.00111606215475	4|0.00110076920232	37|0.0010100918248	25|0.000895854323219	2|0.000891274647812	39|0.000891080053085	35|0.000862854437929	29|0.000839493291313	30|0.00082933486798	36|0.000823449229884	14|0.000799347621895	22|0.000772313219047	3|0.000724896483332	9|0.000721614933729	20|0.000691087827041	12|0.000654940640471	16|0.000641890186306	46|0.000512516193998	34|0.000467585919781	42|0.000416041900881	19|0.000368799782729	43|0.000297492796664	33|0.00026535636736	10|0.000189476799304	45|0.000171098308469	47|9.50081846005e-05	13|7.23837461073e-05	40|4.38497231268e-05
TRAXUPN128F42855C8	W.A.S.P.	Heaven's Hung In Black (Reprise)	Rock|Metal	17|0.28437951007	46|0.141097552602	25|0.118345920263	16|0.0945547351478	5|0.0747782390655	49|0.0721889009832	14|0.0714346514245	15|0.0498383017664	48|0.0277888817706	0|0.00691722845305	1|0.00409228030992	41|0.00311735073683	32|0.00270430740081	31|0.00270244319876	23|0.00268777775116	27|0.00261933706993	7|0.00246661184956	8|0.00208815153238	26|0.00203799783053	24|0.00195586765097	28|0.00194540777791	38|0.00191961834689	6|0.00182049487942	4|0.00179554936766	37|0.00164763851812	21|0.00156828286721	2|0.00145382667586	39|0.00145350925742	35|0.00140746828413	29|0.00136936211987	11|0.00135428106707	30|0.00135279193372	36|0.00134319141643	22|0.00125977953342	3|0.00118243444632	9|0.00117708165819	20|0.00112728654493	18|0.0011202154635	12|0.00106832408681	44|0.000943636897081	34|0.000762715381956	42|0.000678637965592	19|0.00060157771064	43|0.000485263397458	33|0.000432843194209	10|0.000309070190608	45|0.000279091619689	47|0.000154975162298	13|0.00011807069936	40|7.15266583283e-05
TRAZCSY128F42683F2	Pretty Boy Floyd	Shut Up	Rock	23|0.248496871868	17|0.173653814646	2|0.171706459079	24|0.115270676448	18|0.0766982273074	32|0.0590346060208	41|0.0404218213436	48|0.0225235649584	4|0.0204029028129	30|0.0200440371375	0|0.00560658200212	5|0.00376688354182	1|0.00331689278285	15|0.00250002376393	31|0.00219039598052	27|0.00212303644059	7|0.00199924893269	8|0.00169249763523	49|0.00166816201074	26|0.00165184683932	28|0.00157680034836	38|0.00155589738689	6|0.00147555540418	37|0.00133545111664	21|0.00127113143034	25|0.00118441673016	39|0.00117810462642	35|0.0011407872971	29|0.00110990132359	11|0.00109767776328	36|0.00108868933155	14|0.00105682438768	22|0.00102108197042	3|0.000958391895021	9|0.000954053329979	20|0.000913693178838	12|0.000865902671596	16|0.000848648553545	44|0.000764840669875	46|0.000677602082075	34|0.000618199378875	42|0.000550052586765	19|0.000487593374751	43|0.000393317793238	33|0.000350829942781	10|0.000250508911165	45|0.000226210549863	47|0.000125611140591	13|9.56991752556e-05	40|5.79740972815e-05
TRAPZQI128F428CF18	Amorphis	And I Hear You Call	Metal	32|0.125565315203	22|0.123680076505	19|0.122821063969	15|0.0955524508928	49|0.0942130039389	5|0.0670833351124	7|0.0642371256507	12|0.0624122344457	34|0.0620133876185	38|0.0330142622202	4|0.0328523410513	30|0.0322745028061	0|0.00902760483423	48|0.00575800055801	1|0.00534079360825	17|0.00503296698808	41|0.00406842289117	31|0.00352693126314	23|0.00350779153593	27|0.00341847029565	8|0.00272522542753	26|0.00265977033893	24|0.00255258307295	28|0.00253893199851	6|0.00237590943911	37|0.00215031635173	21|0.00204675009501	25|0.00190712384032	2|0.00189737447826	39|0.00189696021867	35|0.00183687261048	29|0.00178714064123	11|0.00176745851189	36|0.00175298552108	14|0.00170167723357	3|0.00154318322666	9|0.00153619735707	20|0.00147121025879	18|0.00146198186201	16|0.00136647671998	44|0.00123153096239	46|0.00109106115446	42|0.000885683539362	43|0.00063331234793	33|0.000564899271294	10|0.000403364377191	45|0.000364239647743	47|0.000202256515575	13|0.000154092874561	40|9.33487177536e-05
TRAVVBW128F42819B2	Belle & Sebastian	Stay Loose	Rock	48|0.136986829557	0|0.130262548111	28|0.113597938087	8|0.0835182781554	11|0.0832818449664	41|0.0537242101628	32|0.0535911387861	35|0.0531733323441	44|0.0530238984329	5|0.046685759536	17|0.0464309043329	7|0.0309203236395	29|0.0305668194927	27|0.0234381155436	1|0.016381245939	31|0.00840206603599	6|0.00811792617271	30|0.00796724495009	12|0.00787559711386	15|0.000993727040696	23|0.000865929200166	49|0.00066307277645	26|0.000656587707286	24|0.000630127587707	38|0.000618449043647	4|0.000578477378616	37|0.000530824508664	21|0.000505258267075	25|0.000470790297754	2|0.000468383581961	39|0.000468281318337	36|0.000432739897632	14|0.000420073995479	22|0.000405866847914	3|0.000380948355535	9|0.000379223832167	20|0.00036318119524	18|0.000360903084307	16|0.000337326799798	46|0.000269338044504	34|0.000245726239964	42|0.000218638773423	19|0.000193812046248	43|0.000156338724602	33|0.000139450354776	10|9.95740450759e-05	45|8.99157614151e-05	47|4.99288002055e-05	13|3.80391817054e-05	40|2.30439522055e-05
TRBHZUN12903CA60F7	Charlotte Gainsbourg	IRM	Pop|Rock	31|0.312399889503	28|0.179267618859	17|0.138953120841	26|0.0916345060586	11|0.0903504380934	4|0.0472756691639	0|0.0129910394763	5|0.00872826488148	48|0.00828596443099	1|0.00768558902095	41|0.00585460300443	15|0.00579281769115	32|0.00507887869228	23|0.00504783485261	27|0.00491929846007	7|0.00463246980025	8|0.00392169481948	49|0.00386530662107	24|0.00367325642582	38|0.00360517769408	6|0.00341901688015	37|0.00309438052781	21|0.0029453450578	25|0.00274441798801	2|0.00273038831461	39|0.00272979218056	35|0.00264332400828	29|0.00257175796307	30|0.002540637993	36|0.00252260754917	14|0.00244877312677	22|0.00236595419121	3|0.00222069470084	9|0.00221064178987	20|0.0021171230798	18|0.00210384309367	12|0.00200638745408	16|0.00196640784999	44|0.00177221617942	46|0.00157007520698	34|0.00143243290335	42|0.00127452962714	19|0.0011298050715	43|0.000911358645381	33|0.00081290983248	10|0.000580455463395	45|0.000524153607689	47|0.000291054208332	13|0.000221745042367	40|0.000134332073641
TRAASQC128F93480F0	Rise Against	Amber Changing	Punk|Rock	0|0.474218438309	17|0.115980711841	32|0.0666213588225	37|0.0497024807145	5|0.035592495685	27|0.0341881320433	8|0.0338203161776	2|0.0333810821817	35|0.033348981624	14|0.0332772508304	1|0.0190208668972	7|0.0178951836665	24|0.0175415222689	48|0.00305503013038	41|0.00215858862646	15|0.0021358084184	31|0.00187128868226	23|0.00186113369136	49|0.00142513623959	26|0.00141119793989	28|0.00134708457846	38|0.00132922685977	6|0.00126058947901	4|0.00124331612657	21|0.00108594696138	25|0.00101186527091	39|0.00100647274445	29|0.000948205622975	11|0.000937762849033	30|0.000936731708622	36|0.000930083894762	22|0.000872325895367	3|0.00081876880814	9|0.000815062305876	20|0.000780582013402	18|0.000775685690459	12|0.000739753854422	16|0.000725013398304	44|0.000653415045499	46|0.000578885789849	34|0.000528137154816	42|0.000469918311309	19|0.000416558454194	43|0.000336017387525	33|0.000299719369084	10|0.000214013582219	45|0.000193255121691	47|0.000107311512551	13|8.17572645085e-05	40|4.95281552158e-05
TRAEVRU128F4263351	Teena Marie	Light	RnB|Rock	15|0.303688820683	11|0.151544163701	48|0.119083703261	32|0.079010526889	7|0.0786308028559	1|0.0438826778382	17|0.0435058761983	3|0.0392341330876	20|0.0391460330646	0|0.0110504293085	5|0.00742443083439	41|0.00498003849097	31|0.00431721429047	23|0.00429378590539	27|0.00418445036516	8|0.00333586942378	49|0.00328790453218	26|0.0032557477478	24|0.00312454292357	28|0.00310783303918	38|0.00306663383832	6|0.00290828185131	4|0.00286843083062	37|0.00263213989447	21|0.00250536744267	25|0.00233445499298	2|0.00232252108158	39|0.00232201399843	35|0.00224846249957	29|0.00218758703808	30|0.00216111578995	36|0.00214577874588	14|0.0020829737589	22|0.00201252637133	9|0.00188041464041	18|0.0017895696049	12|0.00170667195394	16|0.00167266452986	44|0.00150748134095	46|0.0013355363222	34|0.00121845511797	42|0.00108413953879	19|0.000961034034092	43|0.000775219281247	33|0.000691476817878	10|0.000493746637956	45|0.00044585519112	47|0.00024757633598	13|0.000188620619593	40|0.000114265458614
TRAPIIR128F42AEE95	RUN-DMC	Miss Elaine	Rap	30|0.195854164101	0|0.171306422063	12|0.13995664696	49|0.098750555228	48|0.0862213768163	38|0.0708040168227	20|0.070331809152	1|0.044234871682	11|0.0286711048866	31|0.0155425763842	26|0.0151465854636	29|0.0147480972157	3|0.0146366935322	5|0.00276975965115	17|0.00229831531294	41|0.0018578541549	15|0.00183824768442	32|0.00161169183864	23|0.00160184062815	27|0.00156105188966	7|0.00147003191495	8|0.00124448011404	24|0.00116564260763	28|0.00115940881482	6|0.00108496420879	4|0.00107009737904	37|0.000981946635168	21|0.00093465287896	25|0.000870892246315	2|0.000866440178943	39|0.000866251006402	35|0.000838811869536	36|0.000800504647858	14|0.00077707460686	22|0.000750793490373	9|0.000701507861627	18|0.00066761719452	16|0.000624004563858	44|0.000562381290385	46|0.000498235447321	34|0.000454557109867	42|0.000404449313051	19|0.000358523548859	43|0.000289203460021	33|0.000257962479897	10|0.000184197219451	45|0.000166330826721	47|9.23608773889e-05	13|7.03668460489e-05	40|4.26278948312e-05
TRADHLI128F428FEFD	Suicidal Tendencies	Human Guinea Pig	Metal|Punk	43|0.341449512148	31|0.153770926805	18|0.15248849272	0|0.100344413767	5|0.0606095826009	1|0.0412120254889	26|0.0395469795454	48|0.0225235649584	28|0.0205243667014	22|0.0199686483235	17|0.0031257174689	41|0.00252668863751	15|0.00250002376393	32|0.00219190696165	23|0.00217850927834	27|0.00212303644059	7|0.00199924893269	8|0.00169249763523	49|0.00166816201074	24|0.00158527833002	38|0.00155589738689	6|0.00147555540418	4|0.00145533645982	37|0.00133545111664	21|0.00127113143034	25|0.00118441673016	2|0.00117836190179	39|0.00117810462642	35|0.0011407872971	29|0.00110990132359	11|0.00109767776328	30|0.00109647078446	36|0.00108868933155	14|0.00105682438768	3|0.000958391895021	9|0.000954053329979	20|0.000913693178838	12|0.000865902671596	16|0.000848648553545	44|0.000764840669875	46|0.000677602082075	34|0.000618199378875	42|0.000550052586765	19|0.000487593374751	33|0.000350829942781	10|0.000250508911165	45|0.000226210549863	47|0.000125611140591	13|9.56991752556e-05	40|5.79740972815e-05
TRANRWM128F42873F9	Eyes Set to Kill	Liar in the Glass	Rock	2|0.321302338013	31|0.140930536406	34|0.125842517132	23|0.0851938139761	24|0.0708256203976	15|0.0575662299164	22|0.0564787757224	17|0.0440943019869	5|0.0306337507671	12|0.0285006824963	0|0.00412247536669	48|0.00262940346832	1|0.00243888500803	41|0.0018578541549	32|0.00161169183864	27|0.00156105188966	7|0.00147003191495	8|0.00124448011404	49|0.00122658632199	26|0.00121458990559	28|0.00115940881482	38|0.00114403903271	6|0.00108496420879	4|0.00107009737904	37|0.000981946635168	21|0.00093465287896	25|0.000870892246315	39|0.000866251006402	35|0.000838811869536	29|0.000816101657702	11|0.000807113770562	30|0.000806226288586	36|0.000800504647858	14|0.00077707460686	3|0.00070469797416	9|0.000701507861627	20|0.000671831361968	18|0.00066761719452	16|0.000624004563858	44|0.000562381290385	46|0.000498235447321	42|0.000404449313051	19|0.000358523548859	43|0.000289203460021	33|0.000257962479897	10|0.000184197219451	45|0.000166330826721	47|9.23608773889e-05	13|7.03668460489e-05	40|4.26278948312e-05
TRBETHV128F429722F	Andy & Lucas	Hasta Los Huesos	Pop|Latin	33|0.767772286331	10|0.136340669892	45|0.0496667060998	0|0.0036631592954	5|0.00246115983958	48|0.00233644179761	1|0.00216715043582	17|0.00204224267061	41|0.00165085661203	15|0.00163343464629	32|0.00143212109592	31|0.00143113386973	23|0.00142336748309	27|0.00138712332557	7|0.00130624457269	8|0.00110582319898	49|0.00108992308925	26|0.00107926328407	24|0.00103576957373	28|0.00103023033479	38|0.00101657301602	6|0.000964080163757	4|0.000950869759634	37|0.000872540554947	21|0.000830516152796	25|0.000773859573101	2|0.000769903544131	39|0.000769735448729	35|0.00074535351304	29|0.000725173617181	11|0.000717187138332	30|0.000716398537417	36|0.000711314387833	14|0.000690494864407	22|0.000667141925313	3|0.000626182258202	9|0.000623347580165	20|0.000596977563146	18|0.000593232927876	12|0.000565752791838	16|0.000554479509311	44|0.000499722149483	46|0.000442723278568	34|0.0004039114741	42|0.000359386564828	19|0.000318577736386	43|0.000256981121439	47|8.20702554762e-05	13|6.25267450413e-05	40|3.78783995791e-05
TRBDDKF128F426BF7B	Fleet Foxes	English House	Rock|Folk	1|0.310390373684	5|0.165090054257	21|0.162957895176	41|0.0992817575554	32|0.0666213588225	15|0.0506973928829	23|0.0504227181558	28|0.0337214742214	16|0.0169122082198	0|0.00478978848576	48|0.00305503013038	17|0.00267034809026	31|0.00187128868226	27|0.0018137424003	7|0.00170798884496	8|0.00144592653462	49|0.00142513623959	26|0.00141119793989	24|0.00135432744745	38|0.00132922685977	6|0.00126058947901	4|0.00124331612657	37|0.00114089625005	25|0.00101186527091	2|0.00100669253872	39|0.00100647274445	35|0.000974591981043	29|0.000948205622975	11|0.000937762849033	30|0.000936731708622	36|0.000930083894762	14|0.000902861187381	22|0.000872325895367	3|0.00081876880814	9|0.000815062305876	20|0.000780582013402	18|0.000775685690459	12|0.000739753854422	44|0.000653415045499	46|0.000578885789849	34|0.000528137154816	42|0.000469918311309	19|0.000416558454194	43|0.000336017387525	33|0.000299719369084	10|0.000214013582219	45|0.000193255121691	47|0.000107311512551	13|8.17572645085e-05	40|4.95281552158e-05
